token_id,metadata_cover
844,RARE
845,RARE
846,EPIC
847,UNCOMMON
848,RARE
849,RARE
10553,UNCOMMON
851,UNCOMMON
852,UNCOMMON
853,UNCOMMON
854,UNCOMMON
855,UNCOMMON
856,UNCOMMON
857,UNCOMMON
858,GOLD
859,UNCOMMON
860,UNCOMMON
861,RED
863,UNCOMMON
864,GOLD
865,UNCOMMON
866,UNCOMMON
867,UNCOMMON
868,UNCOMMON
869,UNCOMMON
870,RARE
871,UNCOMMON
872,UNCOMMON
873,RARE
874,UNCOMMON
875,RARE
876,RED
877,UNCOMMON
878,UNCOMMON
880,UNCOMMON
881,UNCOMMON
882,UNCOMMON
883,UNCOMMON
884,UNCOMMON
885,UNCOMMON
886,UNCOMMON
887,UNCOMMON
888,UNCOMMON
889,UNCOMMON
890,UNCOMMON
809,UNCOMMON
821,UNCOMMON
838,EPIC
850,RARE
862,RARE
879,UNCOMMON
891,UNCOMMON
892,UNCOMMON
893,UNCOMMON
894,RARE
895,EPIC
896,GOLD
897,UNCOMMON
898,RARE
899,GOLD
900,UNCOMMON
901,EPIC
902,GOLD
903,RARE
904,UNCOMMON
905,UNCOMMON
906,UNCOMMON
907,UNCOMMON
908,UNCOMMON
909,UNCOMMON
910,UNCOMMON
911,UNCOMMON
912,UNCOMMON
913,RARE
914,RARE
915,RARE
10623,UNCOMMON
1354,UNCOMMON
1355,EPIC
1356,RARE
1357,UNCOMMON
1358,EPIC
1359,GOLD
1360,UNCOMMON
10724,RARE
917,UNCOMMON
918,UNCOMMON
919,RARE
920,EPIC
921,UNCOMMON
922,UNCOMMON
923,UNCOMMON
924,EPIC
925,UNCOMMON
926,UNCOMMON
927,UNCOMMON
929,UNCOMMON
930,UNCOMMON
931,UNCOMMON
932,UNCOMMON
933,UNCOMMON
934,RARE
935,RARE
936,UNCOMMON
937,UNCOMMON
938,UNCOMMON
939,UNCOMMON
940,GOLD
941,UNCOMMON
942,RARE
943,UNCOMMON
944,RARE
946,EPIC
947,RARE
948,RARE
949,UNCOMMON
950,UNCOMMON
951,EPIC
952,UNCOMMON
953,UNCOMMON
954,UNCOMMON
955,UNCOMMON
956,RARE
10631,UNCOMMON
958,EPIC
959,UNCOMMON
960,UNCOMMON
961,UNCOMMON
962,RARE
963,UNCOMMON
964,EPIC
965,UNCOMMON
966,UNCOMMON
967,UNCOMMON
968,UNCOMMON
970,UNCOMMON
971,UNCOMMON
972,UNCOMMON
973,UNCOMMON
974,UNCOMMON
975,UNCOMMON
976,UNCOMMON
977,UNCOMMON
978,UNCOMMON
979,GOLD
980,RARE
981,UNCOMMON
982,UNCOMMON
983,UNCOMMON
984,UNCOMMON
985,UNCOMMON
987,UNCOMMON
988,GOLD
989,RARE
990,UNCOMMON
991,UNCOMMON
992,UNCOMMON
993,UNCOMMON
994,EPIC
995,UNCOMMON
996,UNCOMMON
997,GOLD
916,UNCOMMON
928,UNCOMMON
945,UNCOMMON
957,RARE
969,UNCOMMON
986,UNCOMMON
998,UNCOMMON
999,RARE
1000,UNCOMMON
1001,UNCOMMON
1002,UNCOMMON
1003,UNCOMMON
1004,UNCOMMON
1005,RARE
1006,UNCOMMON
1007,UNCOMMON
1008,EPIC
1009,GOLD
1010,RARE
1011,UNCOMMON
1012,RARE
1013,RARE
1014,UNCOMMON
1015,RARE
1016,UNCOMMON
1017,RARE
1018,RARE
1019,UNCOMMON
1020,UNCOMMON
1021,RARE
1022,UNCOMMON
1023,UNCOMMON
1024,UNCOMMON
1025,UNCOMMON
1026,UNCOMMON
1027,UNCOMMON
1028,UNCOMMON
1029,UNCOMMON
10471,UNCOMMON
10570,EPIC
1031,UNCOMMON
1032,UNCOMMON
1033,UNCOMMON
1034,UNCOMMON
1035,RARE
1036,UNCOMMON
1037,UNCOMMON
1038,UNCOMMON
1039,UNCOMMON
1040,UNCOMMON
1041,RARE
1043,UNCOMMON
1044,UNCOMMON
1045,UNCOMMON
1046,GOLD
1047,UNCOMMON
1048,UNCOMMON
1049,GOLD
1050,UNCOMMON
1051,UNCOMMON
1052,UNCOMMON
1053,RARE
1054,UNCOMMON
1055,RARE
1056,RARE
1057,UNCOMMON
1058,GOLD
1060,UNCOMMON
1061,UNCOMMON
1062,UNCOMMON
1063,RARE
1064,UNCOMMON
1065,UNCOMMON
1066,UNCOMMON
1067,UNCOMMON
1068,RARE
1069,RARE
1070,RED
1030,UNCOMMON
1042,UNCOMMON
1059,UNCOMMON
1071,UNCOMMON
1072,UNCOMMON
1073,UNCOMMON
1074,RARE
1075,UNCOMMON
1076,UNCOMMON
1077,UNCOMMON
1078,RARE
1079,UNCOMMON
1080,UNCOMMON
1081,UNCOMMON
1082,UNCOMMON
1083,RARE
1084,RARE
1085,UNCOMMON
1086,UNCOMMON
1087,UNCOMMON
1088,UNCOMMON
1089,UNCOMMON
1090,RARE
1091,UNCOMMON
1092,RARE
1093,RARE
1094,GOLD
1095,UNCOMMON
1096,UNCOMMON
1097,UNCOMMON
1098,UNCOMMON
1099,UNCOMMON
1100,GOLD
1101,UNCOMMON
1102,UNCOMMON
1103,UNCOMMON
10643,UNCOMMON
1366,RARE
1367,UNCOMMON
10741,UNCOMMON
1105,UNCOMMON
1106,RED
1107,UNCOMMON
1108,RARE
1109,UNCOMMON
1110,UNCOMMON
1111,UNCOMMON
1112,GOLD
1113,UNCOMMON
1114,RARE
1115,UNCOMMON
1117,UNCOMMON
1118,RARE
1119,UNCOMMON
1120,UNCOMMON
1121,GOLD
1122,UNCOMMON
1123,UNCOMMON
1124,UNCOMMON
1125,UNCOMMON
1126,UNCOMMON
1127,UNCOMMON
1128,UNCOMMON
1129,UNCOMMON
1130,UNCOMMON
1131,UNCOMMON
1132,UNCOMMON
1134,UNCOMMON
1135,UNCOMMON
1136,UNCOMMON
1137,RARE
1138,UNCOMMON
1139,UNCOMMON
1140,UNCOMMON
1141,RARE
1142,UNCOMMON
1143,UNCOMMON
1144,UNCOMMON
10753,UNCOMMON
1146,UNCOMMON
1147,RARE
1148,RARE
1149,RARE
1150,UNCOMMON
1151,UNCOMMON
1152,UNCOMMON
1153,UNCOMMON
1154,UNCOMMON
1155,UNCOMMON
1156,UNCOMMON
1158,EPIC
1159,UNCOMMON
1160,UNCOMMON
1161,UNCOMMON
1162,RARE
1163,RARE
1164,RARE
1165,UNCOMMON
1166,EPIC
1167,UNCOMMON
1168,UNCOMMON
1169,GOLD
1170,UNCOMMON
1171,UNCOMMON
1172,RARE
1173,UNCOMMON
1175,UNCOMMON
1176,UNCOMMON
1177,UNCOMMON
1178,RARE
1179,UNCOMMON
1180,UNCOMMON
1181,UNCOMMON
1182,UNCOMMON
1183,EPIC
1184,RARE
1185,RARE
10660,UNCOMMON
1104,RARE
1116,UNCOMMON
1133,RARE
1145,UNCOMMON
1157,UNCOMMON
1174,UNCOMMON
1207,UNCOMMON
1192,UNCOMMON
1186,UNCOMMON
1202,RED
1187,UNCOMMON
1203,UNCOMMON
1188,UNCOMMON
1204,RARE
1189,UNCOMMON
1190,UNCOMMON
1206,UNCOMMON
1191,RARE
1208,UNCOMMON
1193,UNCOMMON
1209,UNCOMMON
1194,RARE
1210,UNCOMMON
1195,UNCOMMON
1211,UNCOMMON
1196,EPIC
1212,UNCOMMON
1197,UNCOMMON
1213,UNCOMMON
1214,RARE
1199,UNCOMMON
1215,UNCOMMON
1200,RARE
1216,UNCOMMON
1217,EPIC
1218,UNCOMMON
1219,UNCOMMON
1220,UNCOMMON
14812,RARE
1222,RARE
1223,UNCOMMON
1224,UNCOMMON
1225,EPIC
1226,UNCOMMON
1227,UNCOMMON
1228,UNCOMMON
1229,UNCOMMON
1230,RARE
1231,UNCOMMON
1232,UNCOMMON
1234,EPIC
1235,UNCOMMON
1236,RARE
1237,RARE
1238,UNCOMMON
1239,RARE
1240,UNCOMMON
1241,UNCOMMON
1242,RARE
1243,GOLD
1244,UNCOMMON
1245,RARE
1246,RARE
1247,UNCOMMON
1248,UNCOMMON
1249,UNCOMMON
1251,UNCOMMON
1252,RARE
1253,UNCOMMON
1254,RARE
1255,UNCOMMON
1256,RARE
1257,UNCOMMON
1258,UNCOMMON
1259,EPIC
1260,EPIC
1261,GOLD
14912,UNCOMMON
1201,UNCOMMON
1205,EPIC
1263,UNCOMMON
1264,UNCOMMON
1265,UNCOMMON
1266,UNCOMMON
1267,UNCOMMON
1268,RARE
1269,RARE
1270,UNCOMMON
1271,UNCOMMON
1273,UNCOMMON
1274,EPIC
1275,RARE
1276,GOLD
1277,UNCOMMON
1278,RARE
1279,RARE
1280,RARE
1281,UNCOMMON
1282,UNCOMMON
1283,UNCOMMON
1284,UNCOMMON
1285,UNCOMMON
1286,UNCOMMON
1287,UNCOMMON
1288,GOLD
1290,UNCOMMON
1291,GOLD
1292,UNCOMMON
1293,UNCOMMON
1294,UNCOMMON
1295,UNCOMMON
1296,UNCOMMON
1297,UNCOMMON
1298,UNCOMMON
1299,UNCOMMON
1300,UNCOMMON
14655,UNCOMMON
1301,UNCOMMON
1302,UNCOMMON
1221,RARE
1306,UNCOMMON
1307,UNCOMMON
1308,UNCOMMON
1313,RARE
1314,UNCOMMON
1315,UNCOMMON
1316,UNCOMMON
1371,RARE
1372,RARE
1373,UNCOMMON
1374,GOLD
1376,UNCOMMON
1377,UNCOMMON
1378,RARE
1379,UNCOMMON
1380,UNCOMMON
1381,UNCOMMON
1382,UNCOMMON
1383,UNCOMMON
1384,EPIC
1385,UNCOMMON
1386,UNCOMMON
1387,UNCOMMON
1388,UNCOMMON
1389,UNCOMMON
1390,UNCOMMON
1391,UNCOMMON
1393,UNCOMMON
1394,UNCOMMON
1395,UNCOMMON
1396,UNCOMMON
1397,RARE
1398,UNCOMMON
1399,UNCOMMON
1400,UNCOMMON
1233,EPIC
1250,UNCOMMON
1262,UNCOMMON
1272,RARE
14567,RARE
3028,UNCOMMON
3029,RARE
3030,RARE
3031,UNCOMMON
3032,RARE
3033,EPIC
3034,RARE
3035,UNCOMMON
3037,GOLD
3038,UNCOMMON
3039,RARE
